"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2016-06-18 20:42:03.438816,FALSE,FALSE,0,FALSE,2016-06-18 20:42:03.438816,0
2016-06-19 03:33:20.561184,TRUE,FALSE,0,FALSE,2016-06-19 03:33:20.561184,0
2016-06-19 20:37:03.438816,FALSE,FALSE,0,FALSE,2016-06-19 20:37:03.438816,0
2016-06-20 03:35:23.236188,TRUE,FALSE,0,FALSE,2016-06-20 03:35:23.236188,0
2016-06-20 20:34:18.551669,FALSE,FALSE,0,FALSE,2016-06-20 20:34:18.551669,0
2016-06-21 03:38:20.561184,TRUE,FALSE,0,FALSE,2016-06-21 03:38:20.561184,0
2016-06-21 20:39:18.551669,FALSE,FALSE,0,FALSE,2016-06-21 20:39:18.551669,0
2016-06-22 03:41:05.448331,TRUE,FALSE,0,FALSE,2016-06-22 03:41:05.448331,0
2016-06-22 20:30:00.763812,FALSE,FALSE,0,FALSE,2016-06-22 20:30:00.763812,0
2016-06-23 03:46:05.448331,TRUE,FALSE,0,FALSE,2016-06-23 03:46:05.448331,0
2016-06-23 20:17:03.438816,FALSE,FALSE,0,FALSE,2016-06-23 20:17:03.438816,0
2016-06-24 03:54:46.739543,TRUE,FALSE,0,FALSE,2016-06-24 03:54:46.739543,0
2016-06-24 20:16:00.286704,FALSE,FALSE,0,FALSE,2016-06-24 20:16:00.286704,0
2016-06-25 03:43:20.561184,TRUE,FALSE,0,FALSE,2016-06-25 03:43:20.561184,0
2016-06-25 20:20:23.132962,FALSE,FALSE,0,FALSE,2016-06-25 20:20:23.132962,0
2016-06-26 03:50:00.867038,TRUE,FALSE,0,FALSE,2016-06-26 03:50:00.867038,0
2016-06-26 20:11:48.467626,FALSE,FALSE,0,FALSE,2016-06-26 20:11:48.467626,0
2016-06-27 04:24:19.056592,TRUE,FALSE,0,FALSE,2016-06-27 04:24:19.056592,0
2016-06-27 20:10:00.763812,FALSE,FALSE,0,FALSE,2016-06-27 20:10:00.763812,0
2016-06-28 04:00:00.867038,TRUE,FALSE,0,FALSE,2016-06-28 04:00:00.867038,0
2016-06-28 20:29:18.551669,FALSE,FALSE,0,FALSE,2016-06-28 20:29:18.551669,0
2016-06-29 03:55:00.867038,TRUE,FALSE,0,FALSE,2016-06-29 03:55:00.867038,0
2016-06-29 20:12:03.438816,FALSE,FALSE,0,FALSE,2016-06-29 20:12:03.438816,0
2016-06-30 03:59:02.602251,TRUE,FALSE,0,FALSE,2016-06-30 03:59:02.602251,0
2016-06-30 20:24:18.551669,FALSE,FALSE,0,FALSE,2016-06-30 20:24:18.551669,0
2016-07-01 04:20:23.236188,TRUE,FALSE,0,FALSE,2016-07-01 04:20:23.236188,0
2016-07-01 19:56:30.728149,FALSE,FALSE,0,FALSE,2016-07-01 19:56:30.728149,0
2016-07-02 04:04:11.934744,TRUE,FALSE,0,FALSE,2016-07-02 04:04:11.934744,0
2016-07-02 20:16:12.065256,FALSE,FALSE,0,FALSE,2016-07-02 20:16:12.065256,0
2016-07-03 03:58:51.425466,TRUE,FALSE,0,FALSE,2016-07-03 03:58:51.425466,0
2016-07-03 20:00:00.763812,FALSE,FALSE,0,FALSE,2016-07-03 20:00:00.763812,0
2016-07-04 04:13:56.597783,TRUE,FALSE,0,FALSE,2016-07-04 04:13:56.597783,0
2016-07-04 20:12:03.438816,FALSE,FALSE,0,FALSE,2016-07-04 20:12:03.438816,0
2016-07-05 04:06:05.448331,TRUE,FALSE,0,FALSE,2016-07-05 04:06:05.448331,0
2016-07-05 20:06:00.286704,FALSE,FALSE,0,FALSE,2016-07-05 20:06:00.286704,0
2016-07-06 04:01:05.448331,TRUE,FALSE,0,FALSE,2016-07-06 04:01:05.448331,0
2016-07-06 19:57:19.435089,FALSE,FALSE,0,FALSE,2016-07-06 19:57:19.435089,0
2016-07-07 03:56:05.448331,TRUE,FALSE,0,FALSE,2016-07-07 03:56:05.448331,0
2016-07-07 19:57:32.282449,FALSE,FALSE,0,FALSE,2016-07-07 19:57:32.282449,0
2016-07-08 04:10:00.867038,TRUE,FALSE,0,FALSE,2016-07-08 04:10:00.867038,0
2016-07-08 20:15:00.763812,FALSE,FALSE,0,FALSE,2016-07-08 20:15:00.763812,0
2016-07-09 04:18:57.896855,TRUE,FALSE,0,FALSE,2016-07-09 04:18:57.896855,0
2016-07-09 20:07:34.691627,FALSE,FALSE,0,FALSE,2016-07-09 20:07:34.691627,0
2016-07-10 04:35:23.236188,TRUE,FALSE,0,FALSE,2016-07-10 04:35:23.236188,0
2016-07-10 20:19:18.551669,FALSE,FALSE,0,FALSE,2016-07-10 20:19:18.551669,0
2016-07-11 04:05:23.236188,TRUE,FALSE,0,FALSE,2016-07-11 04:05:23.236188,0
2016-07-11 19:52:29.515663,FALSE,FALSE,0,FALSE,2016-07-11 19:52:29.515663,0
2016-07-12 04:19:23.713296,TRUE,FALSE,0,FALSE,2016-07-12 04:19:23.713296,0
2016-07-12 20:06:14.870919,FALSE,FALSE,0,FALSE,2016-07-12 20:06:14.870919,0
2016-07-13 04:41:05.448331,TRUE,FALSE,0,FALSE,2016-07-13 04:41:05.448331,0
2016-07-13 20:09:18.551669,FALSE,FALSE,0,FALSE,2016-07-13 20:09:18.551669,0
2016-07-14 04:26:05.448331,TRUE,FALSE,0,FALSE,2016-07-14 04:26:05.448331,0
2016-07-14 20:20:47.148245,FALSE,FALSE,0,FALSE,2016-07-14 20:20:47.148245,0
2016-07-15 04:09:36.851755,TRUE,FALSE,0,FALSE,2016-07-15 04:09:36.851755,0
2016-07-15 20:15:37.260457,FALSE,FALSE,0,FALSE,2016-07-15 20:15:37.260457,0
2016-07-16 04:07:47.478821,TRUE,FALSE,0,FALSE,2016-07-16 05:03:15.627127,0
2016-07-16 20:06:47.854583,FALSE,FALSE,0,FALSE,2016-07-16 20:06:47.854583,0
2016-07-17 04:07:56.236802,TRUE,FALSE,0,FALSE,2016-07-17 04:07:56.236802,0
2016-07-17 20:09:18.551669,FALSE,FALSE,0,FALSE,2016-07-17 20:09:18.551669,0
2016-07-18 04:31:05.448331,TRUE,FALSE,0,FALSE,2016-07-18 04:31:05.448331,0
2016-07-18 19:55:23.132962,FALSE,FALSE,0,FALSE,2016-07-18 19:55:23.132962,0
2016-07-19 04:28:40.702864,TRUE,FALSE,0,FALSE,2016-07-19 04:01:05.448331,0
2016-07-19 19:57:03.438816,FALSE,FALSE,0,FALSE,2016-07-19 19:57:03.438816,0
2016-07-20 04:29:23.713296,TRUE,FALSE,0,FALSE,2016-07-20 04:29:23.713296,0
2016-07-20 20:02:19.435089,FALSE,FALSE,0,FALSE,2016-07-20 20:02:19.435089,0
2016-07-21 04:23:57.896855,TRUE,FALSE,0,FALSE,2016-07-21 04:23:57.896855,0
2016-07-21 19:54:18.551669,FALSE,FALSE,0,FALSE,2016-07-21 19:54:18.551669,0
2016-07-22 04:43:04.564911,TRUE,FALSE,0,FALSE,2016-07-22 04:43:04.564911,0
2016-07-22 20:02:32.825465,FALSE,FALSE,0,FALSE,2016-07-22 20:02:32.825465,0
2016-07-23 04:11:05.448331,TRUE,FALSE,0,FALSE,2016-07-23 04:11:05.448331,0
2016-07-23 19:59:18.551669,FALSE,FALSE,0,FALSE,2016-07-23 19:59:18.551669,0
2016-07-24 04:14:23.713296,TRUE,FALSE,0,FALSE,2016-07-24 04:14:23.713296,0
2016-07-24 19:50:00.763812,FALSE,FALSE,0,FALSE,2016-07-24 19:50:00.763812,0
2016-07-25 04:41:05.448331,TRUE,FALSE,0,FALSE,2016-07-25 04:41:05.448331,0
2016-07-25 19:39:18.551669,FALSE,FALSE,0,FALSE,2016-07-25 19:39:18.551669,0
2016-07-26 04:23:20.561184,TRUE,FALSE,0,FALSE,2016-07-26 04:23:20.561184,0
2016-07-26 19:47:24.931994,FALSE,FALSE,0,FALSE,2016-07-26 19:47:24.931994,0
2016-07-27 04:35:23.236188,TRUE,FALSE,0,FALSE,2016-07-27 04:35:23.236188,0
2016-07-27 19:52:19.435089,FALSE,FALSE,0,FALSE,2016-07-27 19:52:19.435089,0
2016-07-28 05:05:00.867038,TRUE,FALSE,0,FALSE,2016-07-28 05:05:00.867038,0
2016-07-28 19:57:03.438816,FALSE,FALSE,0,FALSE,2016-07-28 19:57:03.438816,0
2016-07-29 04:41:05.448331,TRUE,FALSE,0,FALSE,2016-07-29 04:41:05.448331,0
2016-07-29 19:42:19.435089,FALSE,FALSE,0,FALSE,2016-07-29 19:42:19.435089,0
2016-07-30 04:32:51.717551,TRUE,FALSE,0,FALSE,2016-07-30 04:32:51.717551,0
2016-07-30 19:47:03.438816,FALSE,FALSE,0,FALSE,2016-07-30 19:47:03.438816,0
2016-07-31 04:46:05.448331,TRUE,FALSE,0,FALSE,2016-07-31 04:46:05.448331,0
2016-07-31 19:59:18.551669,FALSE,FALSE,0,FALSE,2016-07-31 19:59:18.551669,0
