"series","timestamp","value","label"
"Rise","2024-05-23T03:10:46Z",170,"1"
"Set","2024-05-23T20:15:46Z",1195,"1"
"Rise","2024-05-24T03:55:46Z",215,"1"
"Set","2024-05-24T20:15:46Z",1195,"1"
"Rise","2024-05-25T03:55:46Z",215,"1"
"Set","2024-05-25T20:05:46Z",1185,"1"
"Rise","2024-05-26T03:50:46Z",210,"1"
"Set","2024-05-26T20:15:46Z",1195,"1"
"Rise","2024-05-27T04:05:46Z",225,"1"
"Set","2024-05-27T20:10:46Z",1190,"1"
"Rise","2024-05-28T03:50:46Z",210,"1"
"Set","2024-05-28T20:15:46Z",1195,"1"
"Rise","2024-05-29T04:00:46Z",220,"1"
"Set","2024-05-29T20:10:46Z",1190,"1"
"Rise","2024-05-30T03:50:46Z",210,"1"
"Set","2024-05-30T20:25:46Z",1205,"1"
"Rise","2024-05-31T03:40:46Z",200,"1"
"Set","2024-05-31T20:30:46Z",1210,"1"
"Rise","2024-06-01T03:40:46Z",200,"1"
"Set","2024-06-01T20:30:46Z",1210,"1"
"Rise","2024-06-02T03:50:46Z",210,"1"
"Set","2024-06-02T20:10:46Z",1190,"1"
"Rise","2024-06-03T03:45:46Z",205,"1"
"Set","2024-06-03T20:20:46Z",1200,"1"
"Rise","2024-06-04T03:40:46Z",200,"1"
"Set","2024-06-04T20:20:46Z",1200,"1"
"Rise","2024-06-05T03:40:46Z",200,"1"
"Set","2024-06-05T20:20:46Z",1200,"1"
"Rise","2024-06-06T03:35:46Z",195,"1"
"Set","2024-06-06T20:20:46Z",1200,"1"
"Rise","2024-06-07T03:40:46Z",200,"1"
"Set","2024-06-07T20:25:46Z",1205,"1"
"Rise","2024-06-08T03:45:46Z",205,"1"
"Set","2024-06-08T20:25:46Z",1205,"1"
"Rise","2024-06-09T03:35:46Z",195,"1"
"Set","2024-06-09T20:25:46Z",1205,"1"
"Rise","2024-06-10T03:25:46Z",185,"1"
"Set","2024-06-10T20:25:46Z",1205,"1"
"Rise","2024-06-11T03:40:46Z",200,"1"
"Set","2024-06-11T20:35:46Z",1215,"1"
"Rise","2024-06-12T03:40:46Z",200,"1"
"Set","2024-06-12T20:25:46Z",1205,"1"
"Rise","2024-06-13T03:35:46Z",195,"1"
"Set","2024-06-13T20:15:46Z",1195,"1"
"Rise","2024-06-14T03:35:46Z",195,"1"
"Set","2024-06-14T20:20:46Z",1200,"1"
"Rise","2024-06-15T03:35:46Z",195,"1"
"Set","2024-06-15T20:25:46Z",1205,"1"
"Rise","2024-06-16T03:45:46Z",205,"1"
"Set","2024-06-16T20:20:46Z",1200,"1"
"Rise","2024-06-17T03:45:46Z",205,"1"
"Set","2024-06-17T20:35:46Z",1215,"1"
"Rise","2024-06-18T03:40:46Z",200,"1"
"Set","2024-06-18T20:30:46Z",1210,"1"
"Rise","2024-06-19T03:45:46Z",205,"1"
"Set","2024-06-19T20:35:46Z",1215,"1"
"Rise","2024-06-20T03:35:46Z",195,"1"
"Set","2024-06-20T20:30:46Z",1210,"1"
"Rise","2024-06-21T03:35:46Z",195,"1"
"Set","2024-06-21T20:30:46Z",1210,"1"
"Rise","2024-06-22T03:40:46Z",200,"1"
"Set","2024-06-22T20:35:46Z",1215,"1"
"Rise","2024-06-23T03:45:46Z",205,"1"
"Set","2024-06-23T20:40:46Z",1220,"1"
"Rise","2024-06-24T03:30:46Z",190,"1"
"Set","2024-06-24T20:35:46Z",1215,"1"
"Rise","2024-06-25T03:35:46Z",195,"1"
"Set","2024-06-25T20:30:46Z",1210,"1"
"Rise","2024-06-26T03:35:46Z",195,"1"
"Set","2024-06-26T20:35:46Z",1215,"1"
"Rise","2024-06-27T03:40:46Z",200,"1"
"Set","2024-06-27T20:25:46Z",1205,"1"
"Rise","2024-06-28T03:40:46Z",200,"1"
"Set","2024-06-28T20:35:46Z",1215,"1"
"Rise","2024-06-29T03:50:46Z",210,"1"
"Set","2024-06-29T20:25:46Z",1205,"1"
"Rise","2024-06-30T03:45:46Z",205,"1"
"Set","2024-06-30T20:30:46Z",1210,"1"
"Rise","2024-07-01T03:40:46Z",200,"1"
"Set","2024-07-01T20:25:46Z",1205,"1"
"Rise","2024-07-02T03:45:46Z",205,"1"
